date,AirKorea,SNU,NO3-,SO42-,NH4+,K+,Na+,Cl-,F-,PO43-,Mg2+,Ca2+,OC,EC,Mg,Al,Si,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Ni,Cu,Zn,As,Se,Pb
2020-03-05,17,26.26094,2.508135169,6.418022528,3.341677096,0.237797247,0.112640801,0.305381727,,0.002503129,0.012515645,0.048811014,0.185648728,0.174162596,1.065950624,5.43376836,0.55868027,0.03463,0.1065,0.28887,1.37962,2.04192,0.26201,0.06778,0.00952,0.00041,0.00358,0.02354,0.34674,0.00161,0.01997,0.14764
2020-03-08,63,75.46644,15.23571935,1.666818025,5.867700746,0.233103874,0.151642843,2.247071217,0.002506493,0.002506493,0.012532466,0.050129865,0.325983375,0.280462784,1.162305279,15.50437351,1.113455728,0.10151,0.15552,0.43894,2.53647,1.16651,0.45201,0.07264,0.01198,0.00025,0.00234,0.02234,0.24317,0.00135,0.00282,0.11846
2020-03-10,34,44.71375,3.952739888,1.602902447,2.165610186,0.181720762,0.086474018,0.497538914,,0.002506493,0.01127922,0.056396099,0.120311677,0.09714767,1.238441198,12.48188408,0.841163717,0.07368,0.22084,0.37769,1.20992,1.15573,0.17275,0.08181,0.01029,0.00034,0.00492,0.02737,0.26006,0.0019,0.03229,0.2083
2020-03-12,12,22.54697,3.499582638,1.946994992,2.176126878,0.184056761,0.17654424,0.995409015,0.012520868,0.001252087,0.022537563,0.065108514,0.120895938,0.097007277,1.246256379,4.866279236,0.617126237,0.03488,0.09941,0.23507,1.31316,0.36428,0.26042,0.05044,0.00594,0.00017,0.00107,0.01307,0.13964,0.00078,0.00179,0.0605
2020-03-16,9,15.15152,1.608350731,2.438830898,1.461795407,0.184133612,0.088935282,0.191649269,,0.00125261,0.068893528,0.115240084,0.081210856,0.076750118,1.058120277,3.951953161,0.476414154,0.04748,0.20068,0.54311,1.95059,1.78537,0.23814,0.07203,0.00948,0.00038,0.0059,0.03269,0.3523,0.00265,0.04516,0.22623
2020-03-18,39,50.543,16.61429064,4.233467134,6.758759104,0.26819478,0.241876601,1.730733603,0.005012987,0.030077919,0.043863632,0.091487004,0.375486617,0.356169662,1.054235263,8.992483815,0.78337419,,,,,,,,,,,,,,,
2020-03-21,13,18.72556,4.639519044,2.039032276,2.239551737,0.176707776,0.604064878,0.973772636,0.001253247,0.001253247,0.057649345,0.078954538,0.124419541,0.117310791,1.060597576,4.096993909,0.667379607,0.06293,0.15728,0.45101,2.26097,0.87647,0.48074,0.08459,0.01526,0.00036,0.00388,0.02818,0.37921,0.0017,0.01518,0.17778
2020-03-24,38,51.21781,14.25693372,3.86250613,5.497992989,0.310805166,0.172948036,0.449915542,0.005012987,0.002506493,0.038850646,0.081461031,0.305444055,0.310419422,0.983972115,10.39804879,1.02838066,0.04307,0.1114,0.27253,1.74967,0.22736,0.3135,0.07257,0.00984,0.00036,0.00257,0.01751,0.25356,0.00135,0.00516,0.05048
2020-03-26,23,29.34223,10.4788906,3.252414427,4.271294694,0.211492678,0.098601316,0.091456293,,0.001429005,0.014290046,0.06859222,0.23729415,0.236772998,1.002201059,7.551139829,0.936423776,0.05067,0.15762,0.4817,1.11669,0.56428,0.26126,0.07173,0.0128,,0.00217,0.02293,0.24224,0.00134,0.01069,0.10946
2020-03-30,21,30.87192,10.96273081,1.822829425,3.671413111,0.223203603,0.148802402,0.198880133,,0.001430792,0.017169508,0.068678032,0.203967395,0.214793852,0.949596058,5.865546359,0.790678726,0.02928,0.08022,0.1778,1.1258,0.56111,0.45901,0.04328,0.00679,0.00013,0.00271,0.01685,0.17056,0.00159,0.01124,0.07607
