,OC,MF_OC,EC,MF_EC,ABS_ERROR_EC,ABS_ERROR_OC
8155,4.32,5.4780000000000015,1.84,1.84,0.0,1.1580000000000013
8377,4.78,4.861199999999998,1.31,1.31,0.0,0.08119999999999816
8428,4.0,3.9111999999999973,1.27,1.27,0.0,0.08880000000000265
8452,8.24,4.659499999999997,2.54,2.54,0.0,3.5805000000000033
8560,1.52,2.566399999999998,0.75,0.75,0.0,1.046399999999998
8578,3.73,4.4408999999999965,1.68,1.68,0.0,0.7108999999999965
8599,6.64,6.955199999999999,2.89,2.89,0.0,0.31519999999999904
8628,5.97,7.152699999999998,2.47,2.47,0.0,1.1826999999999979
9160,4.79,5.399400000000001,2.1,2.1,0.0,0.6094000000000008
9165,6.02,5.541199999999999,2.3,2.3,0.0,0.47880000000000056
9175,5.5,5.483600000000003,1.98,1.98,0.0,0.016399999999997306
9185,8.23,8.784499999999998,3.76,3.76,0.0,0.5544999999999973
9300,2.49,3.6703000000000015,0.99,0.99,0.0,1.1803000000000012
9326,5.64,5.823499999999999,2.04,2.04,0.0,0.18349999999999955
9506,1.93,2.6477,0.81,0.81,0.0,0.7177
9524,2.82,3.4062000000000023,1.19,1.19,0.0,0.5862000000000025
9661,3.83,4.464000000000001,1.56,1.56,0.0,0.6340000000000012
9671,2.41,2.865600000000001,0.89,0.89,0.0,0.4556000000000009
9688,5.45,6.0817000000000005,2.63,2.63,0.0,0.6317000000000004
9744,1.83,2.1119,0.6,0.6,0.0,0.2818999999999998
9767,3.12,2.8269000000000015,0.71,0.71,0.0,0.2930999999999986
9788,2.71,2.4020000000000015,0.59,0.59,0.0,0.3079999999999985
9793,1.87,2.3691999999999993,0.4,0.4,0.0,0.4991999999999992
9804,3.42,3.0175000000000005,0.82,0.82,0.0,0.4024999999999994
9810,2.8,3.4381000000000017,0.95,0.95,0.0,0.6381000000000019
9818,2.43,2.728699999999999,0.82,0.82,0.0,0.29869999999999886
9836,3.71,4.216300000000001,1.51,1.51,0.0,0.5063000000000013
9840,4.37,4.629299999999998,1.78,1.78,0.0,0.25929999999999787
9889,5.95,8.235500000000007,3.11,3.11,0.0,2.285500000000007
10039,2.24,3.267600000000001,1.09,1.09,0.0,1.027600000000001
10043,3.18,3.484499999999999,1.57,1.57,0.0,0.30449999999999866
10082,1.93,2.1697,0.86,0.86,0.0,0.23970000000000025
10093,2.66,3.6976,1.47,1.47,0.0,1.0375999999999999
10150,3.14,3.5901999999999985,1.15,1.15,0.0,0.4501999999999984
10175,3.27,3.7792000000000012,1.35,1.35,0.0,0.5092000000000012
10185,3.11,3.3662000000000005,2.23,2.23,0.0,0.25620000000000065
