,OC,MF_OC,EC,MF_EC,ABS_ERROR_EC,ABS_ERROR_OC
4207,2.77,2.77,1.18,1.1998,0.01980000000000004,0.0
4264,2.5,2.5,0.69,0.5060999999999999,0.18390000000000006,0.0
4286,3.68,3.68,0.59,1.0532,0.46319999999999995,0.0
4306,3.87,3.87,1.36,1.3919000000000008,0.031900000000000706,0.0
4324,3.74,3.5646999999999998,1.81,1.6027000000000007,0.20729999999999937,0.17530000000000046
4438,2.77,2.77,1.09,0.9759000000000002,0.11409999999999987,0.0
4567,3.15,3.15,1.6,1.1719999999999993,0.4280000000000008,0.0
4763,0.58,0.58,0.08,0.3715,0.2915,0.0
4925,1.68,1.68,0.38,0.6250000000000001,0.2450000000000001,0.0
5015,2.51,2.51,0.72,0.8105999999999998,0.09059999999999979,0.0
5156,2.14,2.14,0.82,0.5986000000000002,0.2213999999999997,0.0
5209,3.64,3.64,1.23,1.2954999999999997,0.06549999999999967,0.0
5246,14.73,14.73,2.44,2.140699999999999,0.299300000000001,0.0
5255,4.27,4.27,0.73,1.0489999999999997,0.31899999999999973,0.0
5411,2.0,2.0,1.34,0.8556,0.48440000000000005,0.0
5416,0.8,0.8,0.17,0.4476999999999998,0.27769999999999984,0.0
5420,2.31,2.31,0.68,0.6325999999999997,0.04740000000000033,0.0
5456,2.16,2.16,0.83,0.6332999999999999,0.1967000000000001,0.0
5590,4.72,4.72,0.8,0.9776999999999996,0.17769999999999953,0.0
5687,1.77,1.77,0.62,0.5628999999999998,0.05710000000000015,0.0
5818,2.42,2.42,0.7,0.5517999999999998,0.1482000000000001,0.0
5929,3.95,3.95,1.09,1.2935000000000003,0.20350000000000024,0.0
5959,1.67,1.67,1.85,0.6125,1.2375,0.0
5992,2.44,2.44,0.65,1.0543,0.4043,0.0
5999,3.03,3.03,1.23,1.6656999999999997,0.43569999999999975,0.0
6032,2.33,2.33,1.95,1.4774999999999994,0.4725000000000006,0.0
6073,1.91,1.91,0.97,1.0096000000000003,0.0396000000000003,0.0
6190,1.46,1.46,1.08,0.8729999999999994,0.20700000000000063,0.0
6235,3.99,3.99,1.53,1.0939,0.43609999999999993,0.0
6239,4.19,4.19,1.75,1.8044000000000002,0.054400000000000226,0.0
6245,2.05,2.05,1.06,0.7239999999999998,0.3360000000000003,0.0
6257,1.54,1.54,0.5,0.5055000000000001,0.00550000000000006,0.0
6333,6.52,6.52,1.41,1.1287,0.2812999999999999,0.0
6357,6.13,6.13,0.94,0.8414999999999999,0.09850000000000003,0.0
6482,2.75,2.75,0.45,0.8747999999999996,0.42479999999999957,0.0
6639,0.97,0.97,0.32,0.23890000000000003,0.08109999999999998,0.0
6779,2.17,2.17,0.22,0.3158000000000001,0.09580000000000008,0.0
6800,3.13,3.13,2.18,1.139,1.0410000000000001,0.0
6820,3.12,3.12,0.71,0.9283000000000002,0.21830000000000027,0.0
6828,4.96,4.96,1.0,1.9278000000000006,0.9278000000000006,0.0
6829,4.76,4.76,0.91,1.2781,0.3681,0.0
6859,3.76,3.76,1.43,0.9237000000000005,0.5062999999999994,0.0
6879,3.43,3.43,0.77,1.0378000000000005,0.2678000000000005,0.0
7024,10.03,10.03,2.58,2.2747000000000015,0.3052999999999986,0.0
7044,6.31,6.31,2.76,2.8975000000000004,0.13750000000000062,0.0
7069,1.86,1.86,0.51,0.4609000000000001,0.04909999999999992,0.0
7092,1.92,1.92,0.51,0.6285999999999998,0.11859999999999982,0.0
7108,0.86,0.86,0.14,0.12709999999999996,0.01290000000000005,0.0
7134,1.86,1.86,0.15,0.22610000000000008,0.07610000000000008,0.0
7379,4.92,4.92,2.13,1.8136999999999999,0.3163,0.0
7389,3.32,3.32,1.51,1.4880999999999998,0.021900000000000253,0.0
7394,4.13,4.13,1.25,1.5689000000000006,0.3189000000000006,0.0
7579,3.61,3.61,1.31,0.9716000000000001,0.3383999999999999,0.0
7625,4.04,4.04,1.22,1.4089000000000005,0.1889000000000005,0.0
8104,4.52,4.52,1.64,1.6901000000000008,0.05010000000000092,0.0
8187,1.72,1.72,0.48,0.5398999999999998,0.05989999999999984,0.0
8258,2.91,2.91,0.64,0.6448999999999998,0.004899999999999793,0.0
8410,2.75,2.75,0.98,0.9125999999999999,0.06740000000000013,0.0
8464,4.15,4.15,1.62,1.4459999999999993,0.17400000000000082,0.0
8497,3.34,3.34,1.25,1.1679000000000002,0.08209999999999984,0.0
8585,5.35,5.35,2.14,1.8176000000000008,0.32239999999999935,0.0
8591,7.08,7.08,2.61,2.4413000000000014,0.16869999999999852,0.0
8649,4.45,4.45,2.05,1.4488999999999999,0.6011,0.0
9139,3.89,3.89,0.99,0.9401999999999994,0.04980000000000062,0.0
9151,1.87,1.87,0.66,0.7657999999999998,0.10579999999999978,0.0
9159,4.3,4.3,1.53,1.7587999999999995,0.22879999999999945,0.0
